J2000_name,Julian_date,Q/I_inst,err_Q/I_inst,U/I_inst,err_U/I_inst,Q/I,err_Q/I,U/I,err_U/I,PD[%],err_PD[%],EVPA[deg],err_EVPA[deg]
RBPLJ0006-0623,2456549.5353,0.066,0.006,-0.124,0.006,0.063,0.008,-0.126,0.007,14.1,0.7,-31.8,1.4
RBPLJ0006-0623,2456572.4417,0.204,0.009,-0.002,0.009,0.205,0.009,-0.009,0.012,20.5,0.9,-1.3,1.3
RBPLJ0006-0623,2456589.3694,0.287,0.011,-0.091,0.009,0.285,0.012,-0.102,0.014,30.3,1.2,-9.8,1.1
RBPLJ0006-0623,2456593.4344,0.308,0.010,-0.128,0.009,0.304,0.011,-0.139,0.014,33.5,1.2,-12.3,1.0
RBPLJ0006-0623,2456599.3857,0.310,0.004,-0.146,0.004,0.306,0.008,-0.157,0.012,34.4,0.9,-13.6,0.7
RBPLJ0006-0623,2456607.4034,0.300,0.013,-0.113,0.012,0.297,0.014,-0.124,0.016,32.2,1.4,-11.3,1.3
RBPLJ0006-0623,2456854.5770,0.023,0.012,0.029,0.012,0.025,0.012,0.028,0.012,3.8,1.2,23.8,9.7
RBPLJ0006-0623,2456872.5480,0.225,0.006,-0.113,0.006,0.222,0.007,-0.121,0.010,25.3,0.8,-14.3,0.9
RBPLJ0006-0623,2456878.6066,0.231,0.016,-0.120,0.016,0.228,0.017,-0.128,0.018,26.1,1.7,-14.7,1.9
RBPLJ0006-0623,2456885.4588,0.185,0.023,-0.055,0.021,0.184,0.023,-0.062,0.022,19.4,2.3,-9.2,3.4
RBPLJ0006-0623,2456897.5064,0.256,0.009,-0.076,0.009,0.254,0.009,-0.085,0.013,26.8,1.0,-9.2,1.1
RBPLJ0006-0623,2456905.5209,0.173,0.005,-0.144,0.004,0.169,0.008,-0.150,0.007,22.6,0.8,-20.8,1.0
RBPLJ0006-0623,2456913.5018,0.135,0.008,-0.119,0.007,0.132,0.009,-0.124,0.009,18.1,0.9,-21.6,1.4
RBPLJ0006-0623,2456942.3978,-0.031,0.008,-0.088,0.008,-0.033,0.008,-0.086,0.008,9.2,0.8,-55.5,2.4
RBPLJ0006-0623,2456951.4799,0.016,0.005,-0.071,0.005,0.015,0.006,-0.071,0.005,7.2,0.5,-39.1,2.0
RBPLJ0017+8135,2456467.4390,-0.001,0.003,0.005,0.002,0.001,0.004,0.005,0.003,0.5,0.3,40.1,18.1
RBPLJ0017+8135,2456592.4316,-0.010,0.004,-0.005,0.004,-0.008,0.004,-0.005,0.004,0.9,0.4,-75.8,14.3
RBPLJ0017+8135,2456595.4455,-0.007,0.004,-0.002,0.004,-0.006,0.004,-0.001,0.004,0.6,0.4,-84.1,25.2
RBPLJ0017+8135,2456606.3833,-0.003,0.003,0.002,0.003,-0.002,0.003,0.003,0.003,0.3,0.3,62.4,35.4
RBPLJ0017+8135,2456853.5826,-0.002,0.004,0.001,0.004,0.000,0.004,0.001,0.004,0.1,0.4,56.1,56.5
RBPLJ0017+8135,2456869.5887,-0.010,0.003,-0.004,0.004,-0.008,0.004,-0.003,0.004,0.9,0.4,-78.5,13.3
RBPLJ0017+8135,2456878.5840,-0.009,0.004,0.001,0.004,-0.008,0.004,0.002,0.004,0.8,0.4,83.5,16.7
RBPLJ0017+8135,2456882.5506,-0.007,0.004,-0.005,0.004,-0.006,0.004,-0.004,0.004,0.7,0.4,-73.3,22.3
RBPLJ0017+8135,2456897.5333,-0.004,0.004,-0.001,0.004,-0.002,0.004,0.000,0.004,0.2,0.4,-84.2,50.5
